{}
.
// Before each section the days before the examination are indicated. The first section does not have a prefered time. Comments start with //
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// The file is in format: Actions	Question	Answer

// user-specific answers
AppointmentDate	متى يحين موعدي؟	موعدك في يوم {} في {}.
AppointmentDate	متى يتم تحديد موعدي؟	.
AppointmentDate	هل يمكنك إخباري بتاريخ ووقت موعدي؟	.
AppointmentDate	متى يجب أن أحضر في الموعد المحدد لي؟	.
// ChangeAppointment' default answer is an error code because it is supposed to be answered with a Dialog in code instead of a simple answer
ChangeAppointment	أرغب في تغيير تاريخ موعدي.	أنا آسف ولكن يبدو أن هناك مشكلة تمنعني من إعادة الجدولة، يُرجى الاتصال بمركز التنظير الداخلي لإعلامهم بما حدث.
ChangeAppointment	أحتاج إلى إعادة جدولة موعدي.	.
ChangeAppointment	كيف يمكنني تغيير تاريخ موعدي؟	.
ChangeAppointment	هل يمكنك مساعدتي في إعادة ترتيب موعدي؟	.
ChangeAppointment DontShowAsExample	لقد غيرت موعدي.	.
ChangeAppointment DontShowAsExample	تغيير الموعد.	.


DontAnswer DontShowAsExample	حسناً	:)
DontAnswer DontShowAsExample	حسناً	.
	
// general answers
DontShowAsExample	مرحباً بكم.	مرحباً بكم هل هناك شيء تحتاجه؟
DontShowAsExample	مرحباً	.
DontShowAsExample	مرحباً.	مرحباً، كيف يمكنني مساعدتك؟
DontShowAsExample	مرحباً، كيف حالك؟	مرحباً! هل يمكنني فعل شيء من أجلك؟
DontShowAsExample	مرحباً بكم! هل يمكنني أن أسألك شيئاً؟	مرحباً! اسألني عن أي شيء قد تتساءل عنه.
DontShowAsExample	شكراً لك.	أنا هنا لمساعدتك! لا تتردد في السؤال عن أي شيء قد تتساءل عنه.
DontShowAsExample	شكراً لك.	.
DontShowAsExample	أشكرك على مساعدتك لي.	.
DontShowAsExample	شكراً، أقدر لك ذلك!	.
	
// contact situations
	بمن يمكنني الاتصال؟	يمكنك الاتصال بفريقنا عبر الهاتف في أي وقت: التنظير الداخلي في مستشفى أولم الجامعي 0731-500-44632 0731-500-44632
	أين يمكنني التواصل معك إذا كان لدي أي أسئلة؟	.
	أريد التحدث إلى طبيب.	.
	أريد أن أرى طبيباً.	.
	هل يمكنني التحدث مع شخص ما عبر الهاتف؟	.
	أين يمكنني العثور على رقم الاتصال بفريقكم؟	.

	
	أحتاج إلى موعد آخر	إذا كنت غير قادر على الالتزام بموعدك، يُرجى الاتصال بمكتب تسجيل التنظير الداخلي على الرقم 44632-500-500-731 لتحديد موعد جديد. بعد ذلك تذكر أن تطلب مني تغيير موعدك حتى أتمكن من تحديث التاريخ الذي قمت بتخزينه.
	لا أستطيع المجيء.	.
	أحتاج إلى حجز موعد جديد، بمن أتصل؟	.
	كيف يمكنني إلغاء موعدي؟	.
	هل هناك طريقة لإعادة الجدولة دون الاتصال؟	.
	
	ما الأدوية التي يجب أن أتناولها؟	إذا كانت لديك أي أسئلة حول تناول الأدوية، يُرجى الاتصال بقسم التنظير الداخلي أو الطبيب المعالج.
	متى يمكنني الإلغاء على أقصى تقدير؟	إذا لم تتمكن من الحضور إلى الموعد المتفق عليه، يُرجى إبلاغنا قبل 24 ساعة على الأقل.
	
DontShowAsExample	لم ينجح ذلك بشكل جيد. ماذا يجب أن أفعل؟	إذا كنت تواجه مشاكل، يُرجى الاتصال بقسم التنظير الداخلي. سنقدم لك المزيد من المساعدة.
DontShowAsExample	الأمر يسير بشكل سيء.	.
DontShowAsExample	ساعدنا.	.
	
noneOfTheQuestionsOption DontShowAsExample	سؤالي ليس هنا.	أعتذر عن عدم فهم سؤالك. أنصحك بالاتصال بفريقنا عبر الهاتف في أي وقت حتى تتمكن من الحصول على إجابة على الأسئلة التي لم أفهمها: التنظير الداخلي في مستشفى أولم الجامعي 0731-500-44632 0731-500-44632.
	
// after colonoscopy
	ما الأعراض التي قد تظهر بعد الفحص؟	تتمثل بعض الأعراض التي قد تحدث بعد الفحص في انتفاخ البطن والتشنجات والانتفاخ في البطن نتيجة للهواء الذي يدخله الهواء أثناء الفحص. يمكن أن تساعد التمارين الرياضية والدفء في تخفيف الانزعاج، ولكن مع مرور الوقت يجب أن يزول هذا الانزعاج بشكل طبيعي. إذا استمر الانزعاج، يُرجى الاتصال بطبيبك على الفور. من المهم أيضًا ملاحظة أنه بعد إزالة الزوائد اللحمية أو إجراء إجراءات علاجية أخرى، قد يحدث نزيف في حالات نادرة خلال الأيام العشرة الأولى. إذا لاحظت وجود دم في البراز أو أصبت بالحمى، يُرجى الاتصال بطبيبك على الفور.
	ما الذي يمكن أن يحدث بعد الفحص؟	.
	ما الأعراض التي يمكن أن تحدث بعد الفحص؟	.
	ما الأعراض التي قد تحدث بعد العملية؟	.
	ما الذي يمكن أن يحدث بعد العملية؟	.
	ما الأعراض التي قد تظهر بعد تنظير القولون؟	.
	ما الذي يمكن أن يحدث بعد تنظير القولون؟	.
	ما الذي يمكن أن يحدث بعد الفحص؟	.
	ما هي المضايقات الطبيعية بعد العملية؟	.
	هل يجب أن أتوقع حدوث تشنجات أو غازات بعد الفحص؟	.
	ما هي مشكلات ما بعد الاختبار التي يجب أن أراقبها بعد الاختبار؟	.
	
	ماذا يحدث بعد الفحص؟	بعد الفحص، ستتم مراقبتك في مركز التنظير الداخلي لدينا حتى يمكنك الخروج من المستشفى. توقع البقاء لمدة ساعتين على الأقل. كما لا تخطط للقيادة أو القيام بأي تمارين رياضية في ذلك اليوم، فمن الأفضل أن تأخذ الأمر بهدوء.
	ماذا أفعل بعد الفحص؟	.
	ما الذي أحتاج إلى معرفته بعد الفحص؟	.
	هل سأحتاج إلى البقاء بعد الفحص؟	.
	هل يمكنني فعل ما أريد بعد الفحص؟	.
	ما الذي يجب أن أفعله بعد العملية مباشرةً؟	.
	هل أحتاج إلى البقاء في العيادة بعد الفحص؟	.
	هل يمكنني استئناف الأنشطة المعتادة بعد الإجراء؟	.
	
	هل يمكنني القيادة إلى المنزل بنفسي في يوم الامتحان؟	إذا كنت قد تلقيت مسكنًا ("حقنة منومة" أو "حبة منومة")، فلا يجوز لك قيادة السيارة بنفسك لمدة 12 ساعة. يُسمح لك باستخدام وسائل النقل العام أو سيارة أجرة أو شخص مرافق لتوصيلك. استرح وقلل أنشطتك إلى الحد الأدنى في هذا اليوم.
	هل يمكنني القيادة في يوم الامتحان؟	.
	هل يمكنني القيادة بعد تنظير القولون؟	.
	هل يمكنني القيادة بعد الفحص؟	.
	ما الذي يجب مراعاته بعد الفحص؟	.
	هل يمكنني القيادة بنفسي إلى المنزل بعد العملية؟	.
	هل من الآمن القيادة بعد تنظير القولون؟	.
	هل أحتاج إلى شخص يوصلني إلى المنزل؟	.
	
	هل يمكنني ممارسة الرياضة بعد الفحص؟	قبل إجراء الفحص يمكنك ممارسة الرياضة كالمعتاد، ولكن في يوم الفحص من الأفضل عدم التخطيط لأي أنشطة كبيرة. لكن اعتباراً من اليوم التالي، يمكنك ممارسة الرياضة كالمعتاد مع التمهل في ممارستها إذا لزم الأمر.
	هل يمكنني ممارسة الرياضة؟	.
	هل يمكنني ممارسة الرياضة؟	.
	هل يمكنني ممارسة التمارين الرياضية؟	.
	هل يمكنني ممارسة التمارين الرياضية بعد تنظير القولون؟	.
	متى يمكنني العودة إلى ممارسة التمارين الرياضية؟	.
	هل يمكن ممارسة الرياضة بعد الامتحان؟	.
	
	ما هي المدة التي تستغرقها حركة الأمعاء وحركات الأمعاء لتعود إلى طبيعتها؟	قد يستغرق الأمر بضعة أيام حتى تعود حركة الأمعاء وحركات الأمعاء إلى طبيعتها.
	ما المدة التي يستغرقها الشعور بعدم الراحة؟	.
	متى سيزول انزعاجي؟	.
	كم من الوقت يستغرق الأمر حتى أتبرز بشكل طبيعي مرة أخرى؟	لقد أفرغت الأمعاء بالكامل. يجب أن يتشكل البراز أولاً مرة أخرى. يمكن أن يستغرق الأمر ما يصل إلى 10 أيام حتى تعود حركة الأمعاء إلى طبيعتها التي تعرفها.
	
