{}
.
// Comments start with //
// The first line, {} currently, is a special symbol for adding text dynamically from the program, it is the dynamic substitution symbol
// The second line, . currently, is another special symbol, this one representing the static subsitution symbol
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// Before each section the days before the examination are indicated. The first section is the exception since it does not have a designated time. 
// The file is in format: Actions	Question	Answer

// user-specific answers
AppointmentDate	Wann ist mein Termin?	Ihr Termin ist am Tag {} um {}.
AppointmentDate	Wann ist mein Termin angesetzt?	.
AppointmentDate	Können Sie mir das Datum und die Uhrzeit meines Termins nennen?	.
AppointmentDate	Wann soll ich zu meinem Termin kommen?	.
// ChangeAppointment' default answer is an error code because it is supposed to be answered with a Dialog in code instead of a simple answer
ChangeAppointment	Ich möchte meinen Termin ändern.	Es tut mir leid, aber es scheint ein Problem zu geben, das mich daran hindert, den Termin zu verschieben. Bitte setzen Sie sich mit dem Endoskopiezentrum in Verbindung und teilen Sie ihm mit, was passiert ist.
ChangeAppointment	Ich muss meinen Termin verschieben.	.
ChangeAppointment	Wie kann ich das Datum meines Termins ändern?	.
ChangeAppointment	Können Sie mir helfen, meinen Termin zu verschieben?	.
ChangeAppointment DontShowAsExample	Ich habe meinen Termin geändert.	.
ChangeAppointment DontShowAsExample	Termin ändern.	.

DontAnswer DontShowAsExample	Ok	:)
DontAnswer DontShowAsExample	Okay	.
	
// general answers
DontShowAsExample	Hallo.	Hallo. Brauchen Sie etwas?
DontShowAsExample	Hallo.	.
DontShowAsExample	Hallo.	Hallo! Was kann ich für Sie tun?
DontShowAsExample	Hallo, wie geht es Ihnen?	Hallo! Kann ich etwas für Sie tun?
DontShowAsExample	Hallo zusammen! Darf ich dich etwas fragen?	Hallo! Fragen Sie mich, was immer Sie sich auch fragen mögen.
DontShowAsExample	Ich danke Ihnen.	Ich bin hier, um Ihnen zu helfen! Zögern Sie nicht, alles zu fragen, was Sie sich fragen könnten.
DontShowAsExample	Danke.	.
DontShowAsExample	Danke, dass Sie mir geholfen haben.	.
DontShowAsExample	Danke, ich weiß das zu schätzen!	.
	
// contact situations
	An wen kann ich mich wenden?	Sie können unser Team jederzeit telefonisch erreichen: Endoskopie am Universitätsklinikum Ulm 0731-500-44632
	An wen kann ich mich wenden, wenn ich Fragen habe?	.
	Ich möchte mit einem Arzt sprechen.	.
	Ich möchte einen Arzt aufsuchen.	.
	Kann ich mit jemandem am Telefon sprechen?	.
	Wo finde ich die Kontaktnummer für Ihr Team?	.

	
	Ich brauche einen weiteren Termin.	Wenn Sie Ihren Termin nicht einhalten können, wenden Sie sich bitte an unsere Endoskopieanmeldung unter 0731-500-44632, um einen neuen Termin zu vereinbaren. Denken Sie dann daran, mich zu bitten, Ihren Termin zu ändern, damit ich das gespeicherte Datum aktualisieren kann.
	Ich kann nicht kommen.	.
	Ich muss einen neuen Termin vereinbaren, wen muss ich anrufen?	.
	Wie kann ich meinen Termin absagen?	.
	Gibt es eine Möglichkeit, den Termin zu verschieben, ohne anzurufen?	.
	
	Welche Medikamente muss ich einnehmen?	Wenn Sie Fragen zur Medikamenteneinnahme haben, wenden Sie sich bitte an unsere Endoskopieabteilung oder an Ihren behandelnden Arzt.
	Bis wann kann ich spätestens kündigen?	Wenn Sie den vereinbarten Termin nicht wahrnehmen können, informieren Sie uns bitte mindestens 24 Stunden im Voraus.
	
DontShowAsExample	Das hat nicht gut geklappt. Was sollte ich tun?	Wenn Sie Probleme haben, wenden Sie sich bitte an die Endoskopieabteilung. Wir werden Ihnen weiterhelfen.
DontShowAsExample	Das geht schief.	.
DontShowAsExample	Hilfe.	.
	
noneOfTheQuestionsOption DontShowAsExample	Meine Frage ist nicht hier.	Es tut mir leid, dass ich Ihre Frage nicht verstanden habe. Ich empfehle Ihnen, sich jederzeit telefonisch mit unserem Team in Verbindung zu setzen, damit Sie eine Antwort auf die Fragen, die ich nicht verstehe, erhalten können: Endoskopie am Universitätsklinikum Ulm 0731-500-44632.
	
// after colonoscopy
	Welche Symptome können nach der Untersuchung auftreten?	Einige der Symptome, die nach der Untersuchung auftreten können, sind Blähungen, Krämpfe und Blähungen im Bauchraum, die durch die eingeführte Luft verursacht werden. Bewegung und Wärme können helfen, die Beschwerden zu lindern, aber mit der Zeit sollten sie von selbst abklingen. Wenn die Beschwerden anhalten, wenden Sie sich bitte unverzüglich an Ihren Arzt. Es ist auch wichtig zu wissen, dass nach der Entfernung von Polypen oder anderen therapeutischen Eingriffen in seltenen Fällen innerhalb der ersten 10 Tage Blutungen auftreten können. Wenn Sie Blut im Stuhl bemerken oder Fieber bekommen, wenden Sie sich bitte sofort an Ihren Arzt.
	Was kann nach der Untersuchung passieren?	.
	Welche Symptome können nach der Untersuchung auftreten?	.
	Welche Symptome können nach dem Eingriff auftreten?	.
	Was kann nach dem Eingriff passieren?	.
	Welche Symptome können nach der Darmspiegelung auftreten?	.
	Was kann nach der Darmspiegelung passieren?	.
	Was kann nach der Untersuchung passieren?	.
	Welche Unannehmlichkeiten sind nach dem Eingriff normal?	.
	Muss ich nach der Untersuchung mit Krämpfen oder Blähungen rechnen?	.
	Auf welche Probleme sollte ich nach der Untersuchung achten?	.
	
	Was geschieht nach der Untersuchung?	Nach der Untersuchung werden Sie in unserem Endoskopiezentrum überwacht, bis Sie entlassen werden können. Rechnen Sie mit einem Mindestaufenthalt von 2 Stunden. Planen Sie auch nicht, an diesem Tag Auto zu fahren oder Sport zu treiben, sondern lassen Sie es ruhig angehen.
	Was mache ich nach der Untersuchung?	.
	Was muss ich nach der Untersuchung wissen?	.
	Muss ich nach der Untersuchung noch bleiben?	.
	Kann ich nach der Prüfung machen, was ich will?	.
	Was sollte ich direkt nach dem Eingriff tun?	.
	Muss ich nach der Untersuchung in der Klinik bleiben?	.
	Kann ich nach dem Eingriff meine normalen Aktivitäten wieder aufnehmen?	.
	
