{}
.
// Comments start with //
// The first line, {} currently, is a special symbol for adding text dynamically from the program, it is the dynamic substitution symbol
// The second line, . currently, is another special symbol, this one representing the static subsitution symbol
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// Before each section the days before the examination are indicated. The first section is the exception since it does not have a designated time. 
// The file is in format: Actions	Question	Answer

// user-specific answers
AppointmentDate	When is my appointment?	Your appointment is on day {} at {}.
AppointmentDate	When is my appointment scheduled?	.
AppointmentDate	Can you tell me the date and time of my appointment?	.
AppointmentDate	When am I supposed to come in for my appointment?	.
// ChangeAppointment' default answer is an error code because it is supposed to be answered with a Dialog in code instead of a simple answer
ChangeAppointment	I would like to change my appointment date.	I am sorry but there seems to be a problem preventing me from rescheduling, please contact the endoscopy centre to let them know what has happened.
ChangeAppointment	I need to reschedule my appointment.	.
ChangeAppointment	How can I change the date of my appointment?	.
ChangeAppointment	Can you help me rearrange my appointment?	.
ChangeAppointment DontShowAsExample	I have changed my appointment.	.
ChangeAppointment DontShowAsExample	Change appointment.	.

DontAnswer DontShowAsExample	Ok	:)
DontAnswer DontShowAsExample	Okay	.
	
// general answers
DontShowAsExample	Hello.	Hello. Is there something you need?
DontShowAsExample	Hey.	.
DontShowAsExample	Hi.	Hi! What can I do for you?
DontShowAsExample	Hello, how are you?	Hello! Can I do something for you?
DontShowAsExample	Hi there! Can I ask you something?	Hi! Ask me whatever you might be wondering.
DontShowAsExample	Thank you.	I am here to help you! Do not hesitate to ask anything you might be wondering.
DontShowAsExample	Thanks.	.
DontShowAsExample	Thank you for helping me out.	.
DontShowAsExample	Thanks, I appreciate it!	.
	
// contact situations
	Who can I contact?	You can contact our team by telephone at any time: Endoscopy at Ulm University Hospital 0731-500-44632
	Where can I get in touch if I have any questions?	.
	I want to talk to a doctor.	.
	I want to see a doctor.	.
	Can I speak with someone over the phone?	.
	Where can I find the contact number for your team?	.

	
	I need another appointment.	If you are unable to keep your appointment, please contact our endoscopy registration desk on 0731-500-44632 to make a new appointment. After that remember to ask me to change your appointment so I can update the date I have stored.
	I can't come.	.
	I need to book a new appointment, who do I call?	.
	How can I cancel my appointment?	.
	Is there a way to reschedule without calling?	.
	
	What medications do I have to take?	If you have any questions about taking medication, please contact our endoscopy department or your attending physician.
