{}
.
// Before each section the days before the examination are indicated. The first section does not have a prefered time. Comments start with //
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// The file is in format: Actions	Question	Answer

// user-specific answers
AppointmentDate	Quand a lieu mon rendez-vous ?	Votre rendez-vous est fixé au jour {} à {}.
AppointmentDate	Quand mon rendez-vous est-il fixé ?	.
AppointmentDate	Pouvez-vous m'indiquer la date et l'heure de mon rendez-vous ?	.
AppointmentDate	Quand dois-je me présenter pour mon rendez-vous ?	.
// ChangeAppointment' default answer is an error code because it is supposed to be answered with a Dialog in code instead of a simple answer
ChangeAppointment	Je souhaite modifier la date de mon rendez-vous.	Je suis désolé mais il semble y avoir un problème qui m'empêche de reprogrammer, veuillez contacter le centre d'endoscopie pour les informer de ce qui s'est passé.
ChangeAppointment	Je dois reporter mon rendez-vous.	.
ChangeAppointment	Comment puis-je modifier la date de mon rendez-vous ?	.
ChangeAppointment	Pouvez-vous m'aider à modifier mon rendez-vous ?	.
ChangeAppointment DontShowAsExample	J'ai modifié mon rendez-vous.	.
ChangeAppointment DontShowAsExample	Modifier le rendez-vous.	.


DontAnswer DontShowAsExample	Ok	:)
DontAnswer DontShowAsExample	D'accord	.
	
// general answers
DontShowAsExample	Bonjour.	Bonjour. Vous avez besoin de quelque chose ?
DontShowAsExample	Hé.	.
DontShowAsExample	Bonjour.	Bonjour ! Que puis-je faire pour vous ?
DontShowAsExample	Bonjour, comment allez-vous ?	Bonjour ! Puis-je faire quelque chose pour vous ?
DontShowAsExample	Bonjour à tous ! Puis-je vous demander quelque chose ?	Bonjour ! Posez-moi toutes les questions que vous vous posez.
DontShowAsExample	Nous vous remercions.	Je suis là pour vous aider ! N'hésitez pas à me poser toutes les questions que vous vous posez.
DontShowAsExample	Merci.	.
DontShowAsExample	Merci de m'avoir aidé.	.
DontShowAsExample	Merci, j'apprécie !	.
	
// contact situations
	Qui puis-je contacter ?	Vous pouvez contacter notre équipe par téléphone à tout moment : Endoscopie à l'hôpital universitaire d'Ulm 0731-500-44632
	Où puis-je prendre contact si j'ai des questions ?	.
	Je veux parler à un médecin.	.
	Je veux voir un médecin.	.
	Puis-je parler à quelqu'un par téléphone ?	.
	Où puis-je trouver le numéro de contact de votre équipe ?	.

	
	J'ai besoin d'un autre rendez-vous.	Si vous ne pouvez pas respecter votre rendez-vous, veuillez contacter notre bureau d'enregistrement des endoscopies au 0731-500-44632 pour prendre un nouveau rendez-vous. Ensuite, n'oubliez pas de me demander de modifier votre rendez-vous afin que je puisse mettre à jour la date que j'ai enregistrée.
	Je ne peux pas venir.	.
	Je dois prendre un nouveau rendez-vous, qui dois-je appeler ?	.
	Comment puis-je annuler mon rendez-vous ?	.
	Existe-t-il un moyen de reporter un rendez-vous sans téléphoner ?	.
	
	Quels médicaments dois-je prendre ?	Si vous avez des questions sur la prise de médicaments, veuillez contacter notre service d'endoscopie ou votre médecin traitant.
	Quand puis-je résilier au plus tard ?	Si vous ne pouvez pas vous présenter au rendez-vous convenu, veuillez nous en informer au moins 24 heures à l'avance.
	
DontShowAsExample	Cela n'a pas bien fonctionné. Que dois-je faire ?	Si vous rencontrez des problèmes, veuillez contacter le service d'endoscopie. Nous vous aiderons.
DontShowAsExample	C'est en train de mal tourner.	.
DontShowAsExample	Aide.	.
	
