{}
.
// Before each section the days before the examination are indicated. The first section does not have a prefered time. Comments start with //
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// The file is in format: Actions	Question	Answer

// user-specific answers
AppointmentDate	Kiedy mogę umówić się na spotkanie?	Twoje spotkanie odbędzie się w dniu {} o godzinie {}.
AppointmentDate	Kiedy zaplanowane jest moje spotkanie?	.
AppointmentDate	Czy możesz podać mi datę i godzinę spotkania?	.
AppointmentDate	Kiedy powinienem przyjść na wizytę?	.
// ChangeAppointment' default answer is an error code because it is supposed to be answered with a Dialog in code instead of a simple answer
ChangeAppointment	Chciałbym zmienić datę spotkania.	Przykro mi, ale wygląda na to, że wystąpił problem uniemożliwiający mi zmianę terminu, proszę o kontakt z centrum endoskopii w celu poinformowania o zaistniałej sytuacji.
ChangeAppointment	Muszę zmienić termin spotkania.	.
ChangeAppointment	Jak mogę zmienić datę spotkania?	.
ChangeAppointment	Czy możesz mi pomóc zmienić termin spotkania?	.
ChangeAppointment DontShowAsExample	Zmieniłem termin spotkania.	.
ChangeAppointment DontShowAsExample	Zmiana terminu.	.


DontAnswer DontShowAsExample	Ok	:)
DontAnswer DontShowAsExample	Dobrze	.
	
// general answers
DontShowAsExample	Witam.	Witam. Czy jest coś, czego potrzebujesz?
DontShowAsExample	Hej.	.
DontShowAsExample	Cześć.	Cześć! Co mogę dla ciebie zrobić?
DontShowAsExample	Cześć, jak się masz?	Cześć! Czy mogę coś dla ciebie zrobić?
DontShowAsExample	Cześć! Mogę o coś zapytać?	Cześć! Zapytaj mnie o co tylko chcesz.
DontShowAsExample	Dziękuję.	Jestem tutaj, aby ci pomóc! Nie wahaj się pytać o wszystko, co może Cię zastanawiać.
DontShowAsExample	Dzięki.	.
DontShowAsExample	Dziękuję za pomoc.	.
DontShowAsExample	Dzięki, doceniam to!	.
	
// contact situations
	Z kim mogę się skontaktować?	W każdej chwili można skontaktować się z naszym zespołem telefonicznie: Endoskopia w Szpitalu Uniwersyteckim w Ulm 0731-500-44632
	Gdzie mogę się skontaktować, jeśli mam jakieś pytania?	.
	Chcę porozmawiać z lekarzem.	.
	Chcę zobaczyć się z lekarzem.	.
	Czy mogę porozmawiać z kimś przez telefon?	.
	Gdzie mogę znaleźć numer kontaktowy do waszego zespołu?	.

	
	Potrzebuję kolejnego spotkania.	Jeśli nie możesz dotrzymać terminu wizyty, skontaktuj się z naszą rejestracją endoskopii pod numerem 0731-500-44632, aby umówić się na nową wizytę. Następnie poproś mnie o zmianę terminu, abym mógł zaktualizować zapisaną datę.
	Nie mogę przyjść.	.
	Muszę zarezerwować nowy termin, do kogo mam zadzwonić?	.
	Jak mogę anulować spotkanie?	.
	Czy istnieje sposób na zmianę terminu bez dzwonienia?	.
	
	Jakie leki muszę przyjmować?	W razie jakichkolwiek pytań dotyczących przyjmowania leków należy skontaktować się z naszym oddziałem endoskopii lub lekarzem prowadzącym.
	Kiedy najpóźniej mogę anulować?	Jeśli nie możesz przyjść na umówione spotkanie, poinformuj nas o tym z co najmniej 24-godzinnym wyprzedzeniem.
	
DontShowAsExample	To nie zadziałało dobrze. Co powinienem zrobić?	W razie problemów prosimy o kontakt z działem endoskopii. Udzielimy dalszej pomocy.
DontShowAsExample	To idzie źle.	.
DontShowAsExample	Pomoc.	.
	
noneOfTheQuestionsOption DontShowAsExample	Moje pytanie nie jest tutaj.	Przepraszamy za niezrozumienie pytania. Zalecam skontaktowanie się z naszym zespołem telefonicznie w dowolnym momencie, aby uzyskać odpowiedź na pytania, których nie rozumiem: Endoskopia w Szpitalu Uniwersyteckim w Ulm 0731-500-44632.
	
// after colonoscopy
	Jakie objawy mogą wystąpić po badaniu?	Niektóre objawy, które mogą wystąpić po badaniu, to wzdęcia, skurcze i wzdęcia w jamie brzusznej w wyniku wprowadzenia powietrza podczas badania. Ćwiczenia i ciepło mogą pomóc złagodzić dyskomfort, ale z czasem powinien on ustąpić naturalnie. Jeśli dyskomfort nie ustępuje, należy natychmiast skontaktować się z lekarzem. Należy również pamiętać, że po usunięciu polipów lub wykonaniu innych zabiegów terapeutycznych w rzadkich przypadkach może wystąpić krwawienie w ciągu pierwszych 10 dni. Jeśli zauważysz krew w stolcu lub wystąpi gorączka, natychmiast skontaktuj się z lekarzem.
	Co może się wydarzyć po badaniu?	.
	Jakie objawy mogą wystąpić po badaniu?	.
	Jakie objawy mogą wystąpić po zabiegu?	.
	Co może się wydarzyć po zabiegu?	.
	Jakie objawy mogą wystąpić po kolonoskopii?	.
	Co może się wydarzyć po kolonoskopii?	.
	Co może się wydarzyć po badaniu?	.
	Jakie dolegliwości są normalne po zabiegu?	.
	Czy po badaniu należy spodziewać się skurczów lub gazów?	.
	Na co powinienem zwrócić uwagę po egzaminie?	.
	
	Co dzieje się po badaniu?	Po badaniu pacjent będzie monitorowany w naszym centrum endoskopii do czasu wypisania. Minimalny czas pobytu wynosi 2 godziny. Tego dnia nie należy również planować prowadzenia samochodu ani wykonywania żadnych ćwiczeń fizycznych.
	Co mam zrobić po badaniu?	.
	Co muszę wiedzieć po badaniu?	.
	Czy będę musiał zostać po badaniu?	.
	Czy po egzaminie mogę robić, co chcę?	.
	Co powinienem zrobić zaraz po zabiegu?	.
	Czy muszę zostać w klinice po badaniu?	.
	Czy po zabiegu mogę powrócić do normalnej aktywności?	.
	
	Czy mogę samodzielnie wrócić do domu w dniu egzaminu?	Jeśli pacjent otrzymał środek uspokajający ("zastrzyk nasenny" lub "pigułkę nasenną"), nie może samodzielnie prowadzić pojazdu przez 12 godzin. Dozwolone jest korzystanie z transportu publicznego, taksówki lub osoby towarzyszącej. W tym dniu należy odpocząć i ograniczyć aktywność do minimum.
	Czy mogę prowadzić samochód w dniu egzaminu?	.
	Czy po kolonoskopii mogę prowadzić samochód?	.
	Czy po egzaminie mogę prowadzić samochód?	.
	Co należy wziąć pod uwagę po badaniu?	.
	Czy po zabiegu mogę samodzielnie wrócić do domu?	.
	Czy po kolonoskopii można bezpiecznie prowadzić samochód?	.
	Czy potrzebuję kogoś, kto odwiezie mnie do domu?	.
	
	Czy mogę uprawiać sport po badaniu?	Przed badaniem można uprawiać sport jak zwykle, ale w dniu badania lepiej nie planować żadnych większych aktywności. Od następnego dnia można jednak ponownie uprawiać sport jak zwykle, w razie potrzeby powoli.
	Czy mogę uprawiać sport?	.
	Czy mogę ćwiczyć?	.
	Czy mogę ćwiczyć?	.
	Czy mogę ćwiczyć po kolonoskopii?	.
	Kiedy mogę wrócić do ćwiczeń?	.
	Czy po egzaminie można uprawiać sport?	.
	
	Jak długo trwa normalizacja ruchliwości jelit i wypróżnień?	Powrót ruchliwości jelit i wypróżnień do normy może potrwać kilka dni.
	Jak długo trwa dyskomfort?	.
	Kiedy zniknie mój dyskomfort?	.
	Jak długo trwa powrót do normalnego rytmu wypróżnień?	Jelito zostało całkowicie opróżnione. Stolec musi najpierw ponownie się uformować. Powrót do normalnego rytmu wypróżnień może potrwać do 10 dni.
	
	Co powinienem zrobić, jeśli zauważę krew w stolcu, zwymiotuję krwią lub dostanę gorączki?	Jeśli zauważysz krew w stolcu, wymiotujesz krwią lub masz gorączkę, powinieneś natychmiast skontaktować się z lekarzem.
	Co mogę zjeść po badaniu?	Zasadniczo można ponownie jeść i pić wszystko. Zalecamy jednak ostrożne ponowne wprowadzanie pokarmów do jelita grubego. Okrężnica została całkowicie opróżniona. Zacznij od lekkostrawnych potraw, takich jak makarony, zupy, chleb itp.
	Co mogę jeść i pić po badaniu?	Zasadniczo można ponownie spożywać wszystkie pokarmy. Należy jednak zapytać o to egzaminatora. Zalecamy rozpoczęcie od lekkostrawnych potraw i napojów (np. kanapek, herbaty). W dniu badania należy zasadniczo unikać spożywania alkoholu.
	Czy mogę nadal uczestniczyć w spotkaniach po badaniu?	Lepiej nie planować żadnych większych aktywności na dzień badania. Jednak od następnego dnia będziesz mógł normalnie uczestniczyć w spotkaniach
	Czy mogę przyjąć wszystkie leki w dniu badania?	W razie jakichkolwiek pytań dotyczących przyjmowania leków należy skontaktować się z naszym oddziałem endoskopii lub lekarzem prowadzącym.
	
