{}
.
// Before each section the days before the examination are indicated. The first section does not have a prefered time. Comments start with //
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// The file is in format: Actions	Question	Answer

// user-specific answers
AppointmentDate	Когда у меня прием?	Ваша встреча назначена на день {} в {}.
AppointmentDate	Когда назначен прием?	.
AppointmentDate	Можете ли вы сообщить мне дату и время приема?	.
AppointmentDate	Когда я должен прийти на прием?	.
// ChangeAppointment' default answer is an error code because it is supposed to be answered with a Dialog in code instead of a simple answer
ChangeAppointment	Я хотел бы изменить дату приема.	Мне очень жаль, но, похоже, возникла проблема, не позволяющая мне перенести прием, пожалуйста, свяжитесь с центром эндоскопии и сообщите им о случившемся.
ChangeAppointment	Мне нужно перенести встречу.	.
ChangeAppointment	Как я могу изменить дату приема?	.
ChangeAppointment	Вы можете помочь мне перенести встречу?	.
ChangeAppointment DontShowAsExample	Я изменил назначение.	.
ChangeAppointment DontShowAsExample	Изменить назначение.	.


DontAnswer DontShowAsExample	Хорошо	:)
DontAnswer DontShowAsExample	Хорошо	.
	
// general answers
DontShowAsExample	Здравствуйте.	Здравствуйте. Вам что-то нужно?
DontShowAsExample	Привет.	.
DontShowAsExample	Привет.	Привет! Чем могу помочь?
DontShowAsExample	Здравствуйте, как поживаете?	Здравствуйте! Могу я кое-что для вас сделать?
DontShowAsExample	Привет! Могу я у вас кое-что спросить?	Привет! Спрашивайте меня обо всем, что вас интересует.
DontShowAsExample	Спасибо.	Я здесь, чтобы помочь вам! Не стесняйтесь спрашивать обо всем, что вам может быть интересно.
DontShowAsExample	Спасибо.	.
DontShowAsExample	Спасибо, что помогли мне.	.
DontShowAsExample	Спасибо, я ценю это!	.
	
// contact situations
	С кем я могу связаться?	Вы можете связаться с нашей командой по телефону в любое время: Эндоскопия в университетской клинике Ульма 0731-500-44632
	Где я могу связаться с вами, если у меня возникнут вопросы?	.
	Я хочу поговорить с врачом.	.
	Я хочу обратиться к врачу.	.
	Могу ли я поговорить с кем-нибудь по телефону?	.
	Где я могу найти контактный телефон вашей команды?	.

	
	Мне нужна другая встреча.	Если вы не можете прийти на прием, пожалуйста, свяжитесь с регистратурой эндоскопии по телефону 0731-500-44632, чтобы записаться на новый прием. После этого не забудьте попросить меня изменить вашу запись, чтобы я мог обновить сохраненную дату.
	Я не могу прийти.	.
	Мне нужно записаться на новый прием, кому я должен позвонить?	.
	Как я могу отменить встречу?	.
	Есть ли способ перенести встречу без звонка?	.
	
	Какие лекарства я должен принимать?	Если у вас возникли вопросы по поводу приема лекарств, обратитесь в отделение эндоскопии или к своему лечащему врачу.
	Когда я могу отменить заказ?	Если вы не можете прийти в назначенное время, пожалуйста, сообщите нам об этом не менее чем за 24 часа.
	
DontShowAsExample	Ничего хорошего не вышло. Что мне делать?	Если у вас возникли проблемы, обратитесь в отделение эндоскопии. Мы поможем вам в дальнейшем.
DontShowAsExample	Все идет наперекосяк.	.
DontShowAsExample	Помогите.	.
	
noneOfTheQuestionsOption DontShowAsExample	Мой вопрос не здесь.	Извините, что не понял ваш вопрос. Я рекомендую вам связаться с нашей командой по телефону в любое время, чтобы вы могли получить ответ на непонятные мне вопросы: Эндоскопия в университетской клинике Ульма 0731-500-44632.
	
// after colonoscopy
	Какие симптомы могут возникнуть после обследования?	Некоторые симптомы, которые могут возникнуть после обследования, - метеоризм, спазмы и вздутие живота из-за попавшего в него воздуха. Физические упражнения и тепло могут помочь облегчить дискомфорт, но со временем он должен пройти сам собой. Если дискомфорт сохраняется, немедленно обратитесь к врачу. Также важно отметить, что после удаления полипов или проведения других лечебных процедур в редких случаях в течение первых 10 дней может возникнуть кровотечение. Если вы заметили кровь в стуле или у вас поднялась температура, немедленно обратитесь к врачу.
	Что может произойти после обследования?	.
	Какие симптомы могут возникнуть после обследования?	.
	Какие симптомы могут возникнуть после процедуры?	.
	Что может произойти после процедуры?	.
	Какие симптомы могут возникнуть после колоноскопии?	.
	Что может произойти после колоноскопии?	.
	Что может произойти после обследования?	.
	Какие неприятные ощущения являются нормальными после процедуры?	.
	Следует ли мне ожидать спазмов или газов после обследования?	.
	На какие проблемы после экзамена следует обратить внимание?	.
	
	Что происходит после обследования?	После обследования вы будете находиться под наблюдением в нашем центре эндоскопии, пока вас не выпишут. Ожидайте, что вы пробудете там не менее 2 часов. Также не планируйте в этот день садиться за руль или делать какие-либо физические упражнения, лучше отнестись к этому спокойно.
	Что мне делать после обследования?	.
	Что мне нужно знать после обследования?	.
	Нужно ли мне будет оставаться после обследования?	.
	Могу ли я делать все, что захочу, после экзамена?	.
	Что я должен делать сразу после процедуры?	.
	Нужно ли мне оставаться в клинике после обследования?	.
	Могу ли я вернуться к обычной деятельности после процедуры?	.
	
	Могу ли я сам доехать до дома в день экзамена?	Если вы получили седативное средство ("снотворный укол" или "снотворное"), вам нельзя самостоятельно управлять автомобилем в течение 12 часов. Разрешается пользоваться общественным транспортом, такси или сопровождать вас. Отдохните и сведите свою активность к минимуму в этот день.
	Могу ли я водить машину в день экзамена?	.
	Могу ли я водить машину после колоноскопии?	.
	Могу ли я водить машину после экзамена?	.
	На что следует обратить внимание после обследования?	.
	Могу ли я самостоятельно вернуться домой после процедуры?	.
	Можно ли водить машину после колоноскопии?	.
	Мне нужно, чтобы кто-нибудь отвез меня домой?	.
	
	Могу ли я заниматься спортом после обследования?	До обследования вы можете заниматься спортом, как обычно, но на день обследования лучше не планировать никаких серьезных занятий. Однако со следующего дня вы можете снова заниматься спортом как обычно, при необходимости постепенно.
	Могу ли я заниматься спортом?	.
	Могу ли я заниматься спортом?	.
	Могу ли я заниматься спортом?	.
	Можно ли заниматься спортом после колоноскопии?	.
	Когда я смогу вернуться к физическим упражнениям?	.
	Можно ли заниматься спортом после экзамена?	.
	
	Сколько времени требуется для нормализации подвижности кишечника и его движений?	Может потребоваться несколько дней, чтобы моторика кишечника и движения кишечника пришли в норму.
	Как долго проходит дискомфорт?	.
	Когда пройдет мой дискомфорт?	.
	Сколько времени должно пройти, прежде чем я снова смогу нормально опорожнять кишечник?	Вы полностью опорожнили кишечник. Сначала стул должен сформироваться заново. На то, чтобы ваши движения кишечника вернулись в привычное русло, может уйти до 10 дней.
	
	Что делать, если я заметил кровь в стуле, у меня рвота кровью или поднялась температура?	Если вы заметили кровь в стуле, у вас рвота кровью или поднялась температура, немедленно обратитесь к врачу.
	Что можно есть после обследования?	В принципе, вы снова можете есть и пить все. Однако мы рекомендуем осторожно возвращать кишечник к пище. Вы полностью опорожнили толстую кишку. Начните с легкоусвояемой пищи - макарон, супов, хлеба и т. д.
	Что можно есть и пить после обследования?	Как правило, вы снова можете есть все продукты. Однако спросите об этом экзаменатора. Мы рекомендуем начать с легкоусвояемой пищи и напитков (например, сэндвичей, чая). В день экзамена следует избегать употребления алкоголя.
	Могу ли я продолжать посещать приемы после обследования?	На день обследования лучше не планировать никаких важных мероприятий. Однако на следующий день вы сможете посещать приемы в обычном режиме
	Могу ли я принять все свои лекарства в день обследования?	Если у вас возникли вопросы по поводу приема лекарств, обратитесь в наше отделение эндоскопии или к своему лечащему врачу.
	
	Как скоро я почувствую себя нормально после процедуры?	Вы должны начать чувствовать себя нормально уже через несколько часов после процедуры, хотя может потребоваться день или два, чтобы остаточные эффекты седативного препарата полностью исчезли.
	Как долго действует успокоительное?	.
	
