{}
.
// Before each section the days before the examination are indicated. The first section does not have a prefered time. Comments start with //
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// The file is in format: Actions	Question	Answer

// user-specific answers
AppointmentDate	Randevum ne zaman?	Randevunuz {} günü {} saatinde.
AppointmentDate	Randevum ne zaman planlanıyor?	.
AppointmentDate	Randevumun tarihini ve saatini söyleyebilir misiniz?	.
AppointmentDate	Randevum için ne zaman gelmem gerekiyor?	.
// ChangeAppointment' default answer is an error code because it is supposed to be answered with a Dialog in code instead of a simple answer
ChangeAppointment	Randevu tarihimi değiştirmek istiyorum.	Üzgünüm ama yeniden planlama yapmamı engelleyen bir sorun var gibi görünüyor, lütfen ne olduğunu bildirmek için endoskopi merkeziyle iletişime geçin.
ChangeAppointment	Randevumu yeniden planlamam gerekiyor.	.
ChangeAppointment	Randevu tarihimi nasıl değiştirebilirim?	.
ChangeAppointment	Randevumu yeniden düzenlememe yardımcı olabilir misiniz?	.
ChangeAppointment DontShowAsExample	Randevumu değiştirdim.	.
ChangeAppointment DontShowAsExample	Randevuyu değiştir.	.


DontAnswer DontShowAsExample	Tamam.	:)
DontAnswer DontShowAsExample	Tamam.	.
	
// general answers
DontShowAsExample	Merhaba.	Merhaba. Bir şeye mi ihtiyacınız var?
DontShowAsExample	Hey.	.
DontShowAsExample	Merhaba.	Merhaba! Sizin için ne yapabilirim?
DontShowAsExample	Merhaba, nasılsınız?	Merhaba! Sizin için bir şey yapabilir miyim?
DontShowAsExample	Merhaba! Size bir şey sorabilir miyim?	Merhaba! Merak ettiğiniz her şeyi bana sorun.
DontShowAsExample	Teşekkür ederim.	Size yardım etmek için buradayım! Merak ettiğiniz her şeyi sormaktan çekinmeyin.
DontShowAsExample	Teşekkürler.	.
DontShowAsExample	Bana yardım ettiğin için teşekkür ederim.	.
DontShowAsExample	Teşekkürler, minnettarım!	.
	
// contact situations
	Kiminle iletişime geçebilirim?	Ekibimizle istediğiniz zaman telefonla iletişime geçebilirsiniz: Ulm Üniversite Hastanesi Endoskopi 0731-500-44632
	Herhangi bir sorum olursa nereye başvurabilirim?	.
	Bir doktorla konuşmak istiyorum.	.
	Bir doktora görünmek istiyorum.	.
	Telefonda biriyle konuşabilir miyim?	.
	Ekibinizin iletişim numarasını nerede bulabilirim?	.

	
