{}
.
// Before each section the days before the examination are indicated. The first section does not have a prefered time. Comments start with //
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// The file is in format: Actions	Question	Answer

// user-specific answers
AppointmentDate	Коли у мене зустріч?	Ваша зустріч відбудеться в день {} о {}.
AppointmentDate	Коли запланована моя зустріч?	.
AppointmentDate	Чи можете ви повідомити мені дату та час моєї зустрічі?	.
AppointmentDate	Коли я повинен прийти на прийом?	.
// ChangeAppointment' default answer is an error code because it is supposed to be answered with a Dialog in code instead of a simple answer
ChangeAppointment	Я хотів би змінити дату мого візиту.	Вибачте, але, схоже, виникла проблема, яка не дозволяє мені перенести час, будь ласка, зв'яжіться з центром ендоскопії, щоб повідомити їм про те, що трапилося.
ChangeAppointment	Мені потрібно перенести зустріч.	.
ChangeAppointment	Як я можу змінити дату моєї зустрічі?	.
ChangeAppointment	Чи можете ви допомогти мені перенести зустріч?	.
ChangeAppointment DontShowAsExample	Я змінив зустріч.	.
ChangeAppointment DontShowAsExample	Зміни зустріч.	.


DontAnswer DontShowAsExample	Гаразд.	:)
DontAnswer DontShowAsExample	Гаразд.	.
	
// general answers
DontShowAsExample	Привіт.	Здрастуйте. Вам щось потрібно?
DontShowAsExample	Привіт.	.
DontShowAsExample	Привіт.	Привіт! Чим можу допомогти?
DontShowAsExample	Привіт, як справи?	Доброго дня! Чим я можу вам допомогти?
DontShowAsExample	Привіт! Можу я у вас дещо запитати?	Привіт! Запитуйте мене про все, що вас цікавить.
DontShowAsExample	Дякую.	Я тут, щоб допомогти вам! Не соромтеся запитувати про все, що вас цікавить.
DontShowAsExample	Дякую.	.
DontShowAsExample	Дякую, що допомогли мені.	.
DontShowAsExample	Дякую, я це ціную!	.
	
// contact situations
	До кого я можу звернутися?	Ви можете зв'язатися з нашою командою по телефону в будь-який час: Ендоскопія в Університетській лікарні Ульма 0731-500-44632
	З ким я можу зв'язатися, якщо у мене виникнуть запитання?	.
	Я хочу поговорити з лікарем.	.
	Я хочу до лікаря.	.
	Чи можу я поговорити з кимось по телефону?	.
	Де я можу знайти контактний номер вашої команди?	.

	
	Мені потрібна ще одна зустріч.	Якщо ви не можете прийти на прийом, будь ласка, зв'яжіться з нашим відділенням ендоскопії за телефоном 0731-500-44632, щоб записатися на новий прийом. Після цього не забудьте попросити мене змінити дату вашого візиту, щоб я міг оновити дату, яку я зберіг.
	Я не можу прийти.	.
	Мені потрібно записатися на нову зустріч, кому мені зателефонувати?	.
	Як я можу скасувати зустріч?	.
	Чи можна перенести зустріч без дзвінка?	.
	
	Які ліки я повинен приймати?	Якщо у вас виникли питання щодо прийому ліків, будь ласка, зверніться до нашого відділення ендоскопії або до вашого лікаря.
	Коли найпізніше я можу скасувати бронювання?	Якщо ви не можете прийти на узгоджену зустріч, будь ласка, повідомте нас про це щонайменше за 24 години.
	
DontShowAsExample	Нічого не вийшло. Що я маю робити?	Якщо у вас виникли проблеми, зверніться до відділення ендоскопії. Ми допоможемо вам далі.
DontShowAsExample	Це погано.	.
DontShowAsExample	Допоможіть.	.
	
noneOfTheQuestionsOption DontShowAsExample	Моє питання не тут.	Вибачте, що не зрозумів вашого запитання. Я рекомендую вам зв'язатися з нашою командою по телефону в будь-який час, щоб ви могли отримати відповідь на незрозумілі мені питання: Ендоскопія в Університетській лікарні Ульма 0731-500-44632.
	
// after colonoscopy
	Які симптоми можуть виникнути після обстеження?	Деякі симптоми, які можуть виникнути після обстеження, - це метеоризм, спазми та здуття живота внаслідок потрапляння повітря під час обстеження. Фізичні вправи і тепло можуть допомогти полегшити дискомфорт, але з часом він повинен пройти природним шляхом. Якщо дискомфорт не зникає, негайно зверніться до лікаря. Важливо також зазначити, що після видалення поліпів або виконання інших терапевтичних процедур у рідкісних випадках протягом перших 10 днів може виникнути кровотеча. Якщо ви помітили кров у випорожненнях або у вас підвищилася температура, негайно зверніться до лікаря.
	Що може статися після обстеження?	.
	Які симптоми можуть виникнути після обстеження?	.
	Які симптоми можуть виникнути після процедури?	.
	Що може статися після процедури?	.
	Які симптоми можуть виникнути після колоноскопії?	.
	Що може статися після колоноскопії?	.
	Що може статися після обстеження?	.
	Які неприємні відчуття після процедури є нормальними?	.
	Чи варто очікувати спазмів або газів після обстеження?	.
	На які проблеми після іспиту слід звернути увагу?	.
	
	Що відбувається після обстеження?	Після обстеження ви перебуватимете під наглядом у нашому ендоскопічному центрі до моменту виписки. Очікується, що ви пробудете у нас щонайменше 2 години. Також не плануйте сідати за кермо або займатися фізичними вправами в цей день, краще поставитися до цього спокійно.
	Що робити після обстеження?	.
	Що мені потрібно знати після обстеження?	.
	Чи потрібно мені залишатися після обстеження?	.
	Чи можу я робити все, що захочу після обстеження?	.
	Що робити відразу після процедури?	.
	Чи потрібно мені залишатися в клініці після обстеження?	.
	Чи можу я повернутися до звичної діяльності після процедури?	.
	
