{}
{{}}
MessageKey	EN-GB	DE	TR	PL	UK	IT	FR	ES	RU	AR
welcome	Welcome! I am ColpaBot and I am here to help you preparing for the incoming colonoscopy. First I need to ask you some questions.	Herzlich willkommen! Ich bin ColpaBot und ich bin hier, um Ihnen bei der Vorbereitung auf die bevorstehende Darmspiegelung zu helfen. Zuerst muss ich dir ein paar Fragen stellen.	Hoş geldiniz! Ben ColpaBot ve yaklaşan kolonoskopi için hazırlanmanıza yardımcı olmak için buradayım. Öncelikle size bazı sorular sormam gerekiyor.	Witaj! Jestem ColpaBot i jestem tutaj, aby pomóc Ci przygotować się do nadchodzącej kolonoskopii. Najpierw muszę zadać ci kilka pytań.	Ласкаво просимо! Я ColpaBot і я тут, щоб допомогти вам підготуватися до майбутньої колоноскопії. Для початку мені потрібно задати вам кілька запитань.	Benvenuti! Sono ColpaBot e sono qui per aiutarvi a prepararvi per la colonscopia in arrivo. Per prima cosa ho bisogno di farvi alcune domande.	Bienvenue sur le site de ColpaBot ! Je suis ColpaBot et je suis là pour t'aider à préparer ta prochaine coloscopie. Tout d'abord, je dois te poser quelques questions.	¡Bienvenido/a! Soy ColpaBot y estoy aquí para ayudarte a preparar la próxima colonoscopia. Primero necesito hacerte algunas preguntas.	Добро пожаловать! Я - ColpaBot, и я здесь, чтобы помочь вам подготовиться к предстоящей колоноскопии. Сначала мне нужно задать вам несколько вопросов.	مرحباً بكم! أنا كولبا بوت وأنا هنا لمساعدتك في التحضير لتنظير القولون القادم. أريد أولاً أن أطرح عليك بعض الأسئلة.
langSelection	What language do you want us to speak?	Welche Sprache sollen wir sprechen?	Hangi dilde konuşmamızı istiyorsunuz?	W jakim języku mamy mówić?	Якою мовою ви хочете, щоб ми говорили?	Che lingua vuoi che parliamo?	Quelle langue voulez-vous que nous parlions ?	¿En qué idioma quiere que hablemos?	На каком языке вы хотите, чтобы мы говорили?	ما اللغة التي تريدنا أن نتحدث بها؟
monthSelection	On which month do you have the appointment? Please write its numerical value.	In welchem Monat haben Sie den Termin? Bitte schreiben Sie den Zahlenwert auf.	Randevunuzu hangi ayda aldınız? Lütfen sayısal değerini yazınız.	W którym miesiącu masz umówione spotkanie? Wpisz jego wartość liczbową.	На який місяць у вас запланована зустріч? Будь ласка, напишіть його числове значення.	In quale mese ha l'appuntamento? Scriva il suo valore numerico.	Quel est le mois de votre rendez-vous ? Veuillez indiquer sa valeur numérique.	¿En qué mes tiene la cita? Por favor, escriba su valor numérico.	На какой месяц у вас назначена встреча? Пожалуйста, напишите его числовое значение.	في أي شهر لديك موعد؟ يرجى كتابة قيمته العددية.
retryMonthSelection	Please tell me the month you have your appointment. It must be a number between 1 and 12 and it must relate to any of the following months: {{}}.	Bitte geben Sie mir den Monat an, in dem Sie Ihren Termin haben. Es muss sich um eine Zahl zwischen 1 und 12 handeln, und sie muss sich auf einen der folgenden Monate beziehen: {{}}.	Lütfen randevunuzu hangi ayda aldığınızı söyleyin. Bu 1 ile 12 arasında bir sayı olmalı ve aşağıdaki aylardan herhangi biriyle ilgili olmalıdır: {{}}.	Podaj miesiąc, w którym masz umówioną wizytę. Musi to być liczba od 1 do 12 i musi odnosić się do dowolnego z następujących miesięcy: {{}}.	Будь ласка, скажіть мені, на який місяць ви записані на прийом. Це має бути число від 1 до 12, яке відноситься до будь-якого з наступних місяців: {{}}.	La prego di indicarmi il mese in cui ha l'appuntamento. Deve essere un numero compreso tra 1 e 12 e deve riferirsi a uno dei seguenti mesi: {{}}.	Veuillez m'indiquer le mois de votre rendez-vous. Il doit s'agir d'un nombre compris entre 1 et 12 et se rapporter à l'un des mois suivants : {{}}.	Por favor, dígame el mes en el que tiene su cita. Debe ser un número entre 1 y 12 y debe referirse a cualquiera de los meses siguientes: {{}}.	Пожалуйста, укажите месяц, на который назначена ваша встреча. Это должно быть число от 1 до 12, и оно должно относиться к любому из следующих месяцев: {{}}.	من فضلك أخبرني بالشهر الذي حددت فيه موعدك. يجب أن يكون رقماً بين 1 و12 ويجب أن يتعلق بأي من الأشهر التالية: {{}}.
daySelection	On which day is your appointment?	An welchem Tag ist Ihr Termin?	Randevunuz hangi gün?	Którego dnia jest spotkanie?	На який день у вас зустріч?	In quale giorno è previsto l'appuntamento?	Quel est le jour de votre rendez-vous ?	¿Qué día es su cita?	На какой день назначена ваша встреча?	في أي يوم موعدك؟
retryDaySelection	Please tell me the day you have your appointment. It must be a number between 1 and {}.	Bitte geben Sie mir den Tag an, an dem Sie Ihren Termin haben. Es muss eine Zahl zwischen 1 und {} sein.	Lütfen bana randevunuzun olduğu günü söyleyin. Bu 1 ile {} arasında bir sayı olmalıdır.	Podaj dzień, w którym masz umówioną wizytę. Musi to być liczba z przedziału od 1 do {}.	Будь ласка, скажіть мені день, на який ви записані на прийом. Це має бути число від 1 до {}.	La prego di indicarmi il giorno in cui ha l'appuntamento. Deve essere un numero compreso tra 1 e {}.	Veuillez m'indiquer le jour de votre rendez-vous. Il doit s'agir d'un nombre compris entre 1 et {}.	Por favor, dígame el día en que tiene su cita. Debe ser un número entre 1 y {}.	Пожалуйста, укажите день, на который у вас назначена встреча. Это должно быть число от 1 до {}.	يُرجى إخباري باليوم الذي حددت فيه موعدك. يجب أن يكون رقماً بين 1 و {}.
timeSelection	At what time is the appointment?	Um wie viel Uhr ist der Termin?	Randevu saat kaçta?	O której godzinie jest spotkanie?	О котрій годині зустріч?	A che ora è l'appuntamento?	A quelle heure est le rendez-vous ?	¿A qué hora es la cita?	В какое время назначена встреча?	في أي وقت يكون الموعد؟
retryTimeSelection	Please enter the time in {} format. The time must be between {} and {}. Here is an example: {}.	Bitte geben Sie die Uhrzeit im Format {} ein. Die Zeit muss zwischen {} und {} liegen. Hier ist ein Beispiel: {}.	Lütfen saati {} biçiminde girin. Saat {} ile {} arasında olmalıdır. İşte bir örnek: {}.	Wprowadź godzinę w formacie {}. Czas musi zawierać się w przedziale od {} do {}. Oto przykład: {}.	Будь ласка, введіть час у форматі {}. Час має бути між {} та {}. Ось приклад: {}.	Inserire l'ora nel formato {}. L'ora deve essere compresa tra {} e {}. Ecco un esempio: {}.	Veuillez saisir l'heure au format {}. L'heure doit être comprise entre {} et {}. Voici un exemple : {}.	Por favor, introduzca la hora en formato {}. La hora debe estar comprendida entre {} y {}. He aquí un ejemplo: {}.	Пожалуйста, введите время в формате {}. Время должно быть между {} и {}. Вот пример: {}.	يرجى إدخال الوقت بصيغة {}. يجب أن يكون الوقت بين {} و {}. إليك مثال على ذلك: {}.
requestHour	I have not been able to find out your time zone, which is necessary so that I can remind you. Please tell me what time it is right now (the time on your device).	Es ist mir nicht gelungen, Ihre Zeitzone herauszufinden, die notwendig ist, damit ich Sie daran erinnern kann. Bitte sagen Sie mir, wie spät es jetzt ist (die Uhrzeit auf Ihrem Gerät).	Size hatırlatabilmem için gerekli olan saat diliminizi öğrenemedim. Lütfen bana şu anda saatin kaç olduğunu söyleyin (cihazınızdaki saat).	Nie udało mi się ustalić Twojej strefy czasowej, co jest konieczne, abym mógł Ci przypomnieć. Proszę, powiedz mi, która jest teraz godzina (czas na Twoim urządzeniu).	Я не зміг з'ясувати ваш часовий пояс, а це необхідно для того, щоб я міг вам нагадати. Будь ласка, скажіть мені, котра зараз година (час на вашому пристрої).	Non sono riuscito a scoprire il vostro fuso orario, necessario per potervi ricordare. La prego di dirmi che ora è in questo momento (l'ora sul suo dispositivo).	Je n'ai pas réussi à connaître votre fuseau horaire, ce qui est nécessaire pour que je puisse vous rappeler. Veuillez m'indiquer l'heure qu'il est en ce moment (l'heure de votre appareil).	No he podido averiguar tu zona horaria, lo cual es necesario para poder recordártelo. Por favor, dime qué hora es ahora mismo (la hora de tu dispositivo).	Мне не удалось узнать ваш часовой пояс, а это необходимо для того, чтобы я мог напомнить вам. Пожалуйста, скажите, сколько сейчас времени (время на вашем устройстве).	لم أتمكن من معرفة منطقتك الزمنية، وهو أمر ضروري حتى أتمكن من تذكيرك. من فضلك أخبرني ما هو الوقت الآن (الوقت على جهازك).
retryRequestHour	Please enter the current time in {} format. Here is an example: {}.	Bitte geben Sie die aktuelle Uhrzeit im Format {} ein. Hier ist ein Beispiel: {}.	Lütfen geçerli saati {} biçiminde girin. İşte bir örnek: {}.	Wprowadź aktualny czas w formacie {}. Oto przykład: {}.	Будь ласка, введіть поточний час у форматі {}. Ось приклад: {}.	Inserire l'ora corrente nel formato {}. Ecco un esempio: {}.	Veuillez saisir l'heure actuelle au format {}. Voici un exemple : {}.	Por favor, introduzca la hora actual en formato {}. He aquí un ejemplo: {}.	Введите текущее время в формате {}. Вот пример: {}.	يرجى إدخال الوقت الحالي بصيغة {}. إليك مثال على ذلك: {}.
